site_name,date,status,site_total_kwh,incident_id,focus_inverter_name,omitted_days,1811450248060002__rated_kw,1811450248060002__daily_energy_kwh,1811450248060002__specific_yield_kwh_per_kw,1811450248060002__relative_specific_yield_vs_site_avg,40130B1246110135__rated_kw,40130B1246110135__daily_energy_kwh,40130B1246110135__specific_yield_kwh_per_kw,40130B1246110135__relative_specific_yield_vs_site_avg
Wheatcrest 1 NE 34 #7000,2025-01-22,Normal,,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 1 NE 34 #7000,2025-01-23,Normal,,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 1 NE 34 #7000,2025-01-24,Normal,,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 1 NE 34 #7000,2025-01-25,Normal,,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 1 NE 34 #7000,2025-01-26,Normal,,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 1 NE 34 #7000,2025-01-27,Normal,,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 1 NE 34 #7000,2025-01-28,Normal,,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 1 NE 34 #7000,2025-01-29,Normal,,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 1 NE 34 #7000,2025-01-30,Normal,,,,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 1 NE 34 #7000,2025-01-31,Normal,17.7,,,,40.0,0.0,0.0,0.0,100.0,17.7,0.177,2.0
Wheatcrest 1 NE 34 #7000,2025-02-01,site_missing_data,201.4,SOLIS-1298491919449868709-001,ALL_INVERTERS,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 1 NE 34 #7000,2025-02-02,site_missing_data,152.85,SOLIS-1298491919449868709-001,ALL_INVERTERS,,40.0,0.0,0.0,,100.0,0.0,0.0,
Wheatcrest 1 NE 34 #7000,2025-02-03,site_missing_data,201.4,SOLIS-1298491919449868709-001,ALL_INVERTERS,,40.0,0.0,0.0,,100.0,0.0,0.0,
